,영화명,감독,배급사,개봉일,국적,전국관객수,장르,등급,유료시사회,개봉달,스크린수,상영횟수,관객수,매출액,누적관객수,주연,감독관객,평점,평점수,SSS,SS,S,A,B,C,D,F,기록없음
1093,마스터 ,폴 토마스 앤더슨,(주)영화사 진진,2013-07-11,미국,33505,드라마,청소년관람불가,0,7,10,17,"1,317","10,054,500","1,317","호와킨피닉스,필립세이모어호프만,에이미아담스",21526,7.17,84,0,0,0,0,0,1,2,0,0
1094,리틀드래곤 코코넛,"허버트 베일란드,니나 웰스",(주)영화사 빅,2015-07-02,독일,33464,애니메이션,전체관람가,0,7,3,8,"1,622","13,365,000","1,622",0,35119,9.59,102,0,0,0,0,0,0,1,0,0
1095,배틀 오브 비보이,벤슨 리,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-09,미국,33360,드라마,12세이상관람가,0,1,19,48,"11,047","78,107,000","11,047",조쉬펙,12642,8.29,84,0,0,0,0,0,0,0,1,0
1096,무한대를 본 남자,맷 브라운,판씨네마(주),2016-11-03,영국,33188,드라마,12세이상관람가,0,11,3,4,704,"5,632,000",704,데브파텔제레미아이언스,33316,8.72,36,0,0,0,0,0,1,0,0,0
1097,"땡큐, 대디",닐스 타베니어,(주)영화사 빅,2015-04-23,프랑스,33036,드라마,전체관람가,0,4,13,34,"9,061","61,560,000","9,061",자크검블린,33066,9.64,115,0,0,0,0,0,0,0,1,0
1098,태양 아래,비탈리 만스키,THE 픽쳐스,2016-04-27,체코,33008,다큐멘터리,전체관람가,0,4,4,5,919,"7,604,000",919,0,13467,9.5,122,0,0,0,0,0,0,1,0,0
1099,킬 유어 달링,존 크로키다스,(주)영화사 진진,2014-10-16,미국,32668,드라마,청소년관람불가,0,10,1,6,493,"3,802,600",493,"다니엘래드클리프,데인드한",33157,9.06,188,0,0,0,0,0,1,0,1,0
1100,꼬마 잠수함 올리 2,밥 두셋,예지림엔터테인먼트,2014-12-04,미국,32453,애니메이션,전체관람가,0,12,3,6,"1,217","9,736,000","1,217","김경희,최윤정,윤세웅,서원석",33668,9.06,53,0,0,0,0,0,0,1,3,0
1101,인어공주 : 새로운 모험의 시작,아담 추,예지림엔터테인먼트,2016-11-03,중국,32350,애니메이션,전체관람가,0,11,1,2,488,"3,904,000",488,0,32624,8.37,92,0,0,0,0,0,0,1,0,0
1102,다가오는 것들,미아 한센-로브,찬란,2016-09-29,프랑스,32307,드라마,15세이상관람가,0,9,2,15,"1,402","10,130,500","1,402",이자벨위페르,17283,8.93,15,0,0,0,0,0,0,0,1,0
1103,팔로우,데이빗 로버트 밋첼,(주)영화사오원,2015-04-02,미국,32187,공포(호러),청소년관람불가,0,4,2,7,"1,302","10,630,000","1,302","마이카먼로,키어길크리스,다니엘조바토",33512,8.66,35,0,0,0,0,0,0,1,2,0
1104,클라우즈 오브 실스마리아,올리비에 아사야스,(주)나이너스엔터테인먼트,2014-12-18,프랑스,32126,드라마,15세이상관람가,0,12,4,20,"2,114","17,093,700","2,114","줄리엣비노쉬,크리스틴스튜어트",15988,9.63,67,0,0,0,0,0,0,0,2,0
1105,위크엔드 인 파리,로저 미첼,판씨네마(주),2014-05-01,영국,32070,드라마,15세이상관람가,0,5,5,11,"1,321","10,343,000","1,321",짐브로드벤트,79792,9.86,14,0,0,0,0,0,0,0,1,0
1106,극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,(주)팝엔터테인먼트,2017-08-24,미국,32021,애니메이션,전체관람가,0,8,2,3,618,"5,998,000",618,0,24078,9.78,54,0,0,0,0,0,0,1,0,0
1107,극장판 유희왕 더 다크 사이드 오브 디멘션즈,쿠와바라 사토시,(주)넥스트엔터테인먼트월드(NEW),2016-06-09,일본,31805,애니메이션,전체관람가,0,6,2,4,910,"8,132,000",910,"엄상현,장성호",16073,9.66,460,0,0,0,0,0,1,0,1,0
1108,마이 블랭키,프란시스 닐슨,(주)마인스 엔터테인먼트,2014-06-04,스페인,31798,애니메이션,전체관람가,0,6,2,2,608,"4,864,000",608,0,32627,9.22,18,0,0,0,0,0,0,1,0,0
1109,동경가족,야마다 요지,오드,2014-07-31,일본,31564,가족,전체관람가,0,7,4,11,"1,238","8,676,000","1,238","하시즈메이사오,요시유키카즈코,츠마부키사토시,아오이유우,니시무라마사히코",10625,8.35,93,0,0,0,0,0,0,0,5,0
1110,꼬마 니콜라의 여름방학,로랑 티라르,(주)나이너스엔터테인먼트,2014-08-21,프랑스,31368,코미디,전체관람가,0,8,88,154,"3,717","26,370,100","3,717","마테오부와슬리에,카드메라드",80165,9.02,56,0,0,0,0,0,0,0,2,0
1111,나는 부정한다,믹 잭슨,(주)티캐스트,2017-04-26,영국,31172,드라마,12세이상관람가,0,4,1,8,712,"5,997,200",712,"레이첼와이즈,톰윌킨슨,티모시스폴,앤드류스캇",31638,8.98,201,0,0,0,0,0,0,0,4,0
1112,초콜렛 도넛,트래비스 파인,CGV아트하우스,2014-10-02,미국,31101,드라마,15세이상관람가,0,10,15,38,"3,157","24,745,500","3,157","알란커밍,아이작레이바",34118,9.13,95,0,0,0,0,0,0,0,2,0
1113,러브액츄얼리: 크리스마스 에디션,리차드 커티스,(주)팝엔터테인먼트,2013-12-18,미국,31032,멜로/로맨스,청소년관람불가,0,12,1,1,200,"1,600,000",200,"휴그랜트,콜린퍼스,리암니슨,키이라나이틀리",1143099,9.11,37,0,0,0,0,0,1,1,2,0
1114,단지 세상의 끝,자비에 돌란,(주)엣나인필름,2017-01-18,캐나다,30793,드라마,15세이상관람가,0,1,1,8,"1,560","12,263,000","1,560","나탈리베이,뱅상카셀,마리옹꼬띠아르,레아세이두",30130,8.62,96,0,0,0,0,0,0,2,2,0
1115,"좋아해, 너를",이마이즈미 리키야,(주)디오시네마,2017-09-14,일본,30714,드라마,12세이상관람가,0,9,18,44,"7,157","70,273,000","7,157",0,30719,9.82,274,0,0,0,0,0,0,1,0,0
1116,앵그리스트 맨,필 알덴 로빈슨,브릿지웍스 엔터테인먼트(주),2014-10-30,미국,30656,드라마,15세이상관람가,0,10,4,7,"1,335","10,796,000","1,335",로빈윌리엄스,30673,9.69,49,0,0,0,0,0,0,1,0,0
1117,쿠보와 전설의 악기,트래비스 나이트,유니버설픽쳐스인터내셔널 코리아(유),2016-10-26,미국,30525,애니메이션,전체관람가,0,10,3,5,924,"6,508,000",924,"샤를리즈테론,랄프파인즈,루니마라,매튜매커너히,조지타케이",30525,8.33,24,0,0,0,0,0,1,0,4,0
1118,스노우타임,장 프랑소아 풀리오,(주)영화사 빅,2016-12-15,캐나다,30467,애니메이션,전체관람가,0,12,6,19,"1,712","13,068,000","1,712",0,26369,10,12,0,0,0,0,0,0,1,0,0
1119,반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,(주)디스테이션,2017-01-25,뉴질랜드,30349,판타지,12세이상관람가,0,1,1,2,628,"7,406,000",628,"일라이저우드,이안맥켈런,리브타일러,비고모텐슨,숀애스틴,케이트블란쳇,존라이스데이비스,빌리보이드,도미니크모나한,올랜도블룸,크리스토퍼리,휴고위빙",2646170,0,0,0,0,0,2,1,2,0,7,0
1120,마인드스케이프,호르헤 도라도,오퍼스픽쳐스,2014-10-23,스페인,30257,스릴러,15세이상관람가,0,10,6,20,"3,845","29,589,000","3,845",마크스트롱,30257,9.19,226,0,0,0,0,1,0,0,0,0
1121,러스트 앤 본,자크 오디아르,그린나래미디어(주),2013-05-02,프랑스,30193,멜로/로맨스,청소년관람불가,0,5,5,13,"1,727","12,441,000","1,727","마리옹꼬띠아르,마티아스쇼에나에츠",21027,8.95,367,0,0,0,0,0,0,0,2,0
1122,"나의 사랑, 그리스",크리스토퍼 파파칼리아티스,(주)팝엔터테인먼트,2017-04-20,그리스,30181,드라마,15세이상관람가,0,4,4,9,"1,152","8,879,000","1,152","J.K.시몬스,크리스토퍼파파칼리아티스",30181,9.36,172,0,0,0,0,0,0,1,1,0
1123,지골로 인 뉴욕,존 터투로,(주)나이너스엔터테인먼트,2014-09-25,미국,30140,멜로/로맨스,청소년관람불가,0,9,4,8,"1,445","10,788,000","1,445","존터투로,우디앨런,샤론스톤,바네사파라디,소피아베르가라",15127,8.4,100,0,0,0,0,0,1,0,4,0
1124,극장판 나루토 질풍전: 로드 투 닌자,하야토 다테,씨너스엔터테인먼트(주),2013-02-21,일본,30117,애니메이션,전체관람가,0,2,1,1,70,"560,000",70,"타케우치준코,나카무라치에,모리카와토시유키",30195,9.73,986,0,0,0,0,0,1,0,2,0
1125,행복배달부 팻아저씨,마이크 디사,(주)영화사 빅,2014-10-09,영국,29906,애니메이션,전체관람가,0,10,6,10,"1,208","9,655,000","1,208",0,95027,9.67,39,0,0,0,0,0,0,1,0,0
1126,테일 오브 테일즈,마테오 가로네,오드,2016-11-24,이탈리아,29891,판타지,청소년관람불가,0,11,3,13,"1,073","9,209,900","1,073","셀마헤이엑,뱅상카셀,스테이시마틴,토비존스",10540,8.11,259,0,0,0,0,1,0,2,1,0
1127,33,패트리시아 리건,(주)나이너스엔터테인먼트,2016-04-07,미국,29728,드라마,12세이상관람가,0,4,64,160,"15,227","116,301,900","15,227","안토니오반데라스,로드리고산토로",39302,8.95,248,0,0,0,0,0,0,1,1,0
1128,루터,에릭 틸,THE 픽쳐스,2017-10-18,독일,29710,드라마,12세이상관람가,0,10,4,18,"2,307","19,072,500","2,307","조셉파인즈,알프리드몰리나",31339,9.21,116,0,0,0,0,0,0,0,2,0
1129,너브,"헨리 유스트,아리엘 슐만",(주)박수엔터테인먼트,2017-01-11,미국,29441,어드벤처,15세이상관람가,0,1,2,3,433,"3,464,000",433,엠마로버츠,71779,8.23,409,0,0,0,0,0,0,0,1,0
1130,벨과 세바스찬,니콜라 바니에,그린나래미디어(주),2014-03-20,프랑스,29308,어드벤처,전체관람가,0,3,20,32,"2,704","18,976,000","2,704","펠릭스보쉬,체키카료,얼바인캔슬리어,마고샤텔리에,디미트리스토로지",30900,9.38,52,0,0,0,0,0,2,0,3,0
1131,아이돌 마스터 무비 : 빛의 저편으로!,니시고리 아츠시,(주)머스트씨무비릴리징컴퍼니,2015-11-19,일본,29287,애니메이션,전체관람가,0,11,,,,,,0,29287,7.25,320,0,0,0,0,0,0,1,0,0
1132,리빙보이 인 뉴욕,마크 웹,주식회사 더쿱,2017-11-09,미국,29217,멜로/로맨스,15세이상관람가,0,11,16,23,"2,618","19,832,500","2,618","칼럼터너,제프브리지스,케이트베킨세일,키어시클레몬스,피어스브로스넌",1411169,8.75,57,0,0,0,0,1,0,1,3,0
1133,꼬마잠수함 올리,헤 질리,예지림엔터테인먼트,2014-10-16,중국,29114,애니메이션,전체관람가,0,10,4,4,700,"5,600,000",700,"김경희,최윤정,김자연,홍진욱",83438,9.54,28,0,0,0,0,0,0,1,3,0
1134,데스노트: 더 뉴 월드,사토 신스케,(주)디스테이션,2017-03-29,일본,28723,범죄,15세이상관람가,0,3,6,8,566,"4,598,300",566,"히가시데마사히로,이케마츠소스케,토다에리카,스다마사키",80548,7.39,135,0,0,0,0,0,0,0,4,0
1135,슈퍼 스파이: 수상한 임무,하비에르 페서,(주)스톰픽쳐스코리아,2015-10-15,스페인,28626,애니메이션,전체관람가,0,10,6,9,"1,554","12,732,000","1,554",0,28849,9.62,24,0,0,0,0,0,0,1,0,0
1136,분노,이상일,메가박스중앙(주)플러스엠,2017-03-30,일본,28567,스릴러,청소년관람불가,0,3,6,18,"2,259","18,739,000","2,259","와타나베켄,모리야마미라이,마츠야마켄이치,히로세스즈,미야자키아오이,츠마부키사토시",28169,8.64,76,0,0,0,0,0,0,0,6,0
1137,굿모닝 맨하탄,가우리 신드,(주)인벤트스톤,2014-02-06,인도,28548,코미디,전체관람가,0,2,10,31,"5,966","41,150,000","5,966",스리데비,31516,9.46,65,0,0,0,0,0,0,0,1,0
1138,머드 ,제프 니콜스,(주)프레인글로벌,2013-11-28,미국,28507,드라마,15세이상관람가,0,11,5,16,"2,361","18,365,000","2,361","매튜매커너히,리즈위더스푼",14996,8.67,472,0,0,0,0,0,0,1,1,0
1139,극장판 암살교실 : 365일의 시간,키시 세이지,(주)박수엔터테인먼트,2017-03-23,일본,28364,애니메이션,12세이상관람가,0,3,1,1,284,"2,456,000",284,0,10474,9.72,151,0,0,0,0,0,0,1,0,0
1140,카페 6,오자운,(주)라이크 콘텐츠,2016-11-16,대만,28353,멜로/로맨스,12세이상관람가,0,11,6,16,"1,102","8,993,500","1,102","동자건,안탁령,임백굉",28452,8.36,36,0,0,0,0,0,0,0,3,0
1141,서프러제트,사라 가브론,유니버설픽쳐스인터내셔널 코리아(유),2016-06-23,미국,28220,드라마,12세이상관람가,0,6,4,7,355,"3,093,000",355,"캐리멀리건,헬레나본햄카터",28511,9.39,114,0,0,0,0,0,0,2,0,0
1142,걸즈 앤 판처 극장판,미즈시마 츠토무,(주)머스트씨무비릴리징컴퍼니,2016-08-25,일본,28121,애니메이션,12세이상관람가,0,8,25,126,"7,600","73,605,600","7,600",0,31735,9.03,132,0,0,0,0,0,0,1,0,0
1143,나를 미치게 하는 여자,주드 아패토우,유니버설픽쳐스인터내셔널 코리아(유),2015-12-10,미국,27858,코미디,청소년관람불가,0,12,8,45,"10,572","56,022,000","10,572",에이미슈머,28136,8.68,357,0,0,0,0,0,0,0,1,0
1144,키드냅,루이스 프리에토,(주)제이앤씨미디어그룹,2017-11-22,미국,27854,액션,15세이상관람가,0,11,9,14,"1,362","10,200,700","1,362",할리베리,14173,8.04,267,0,0,0,1,0,0,0,0,0
1145,스페이스 비트윈 어스,피터 첼섬,씨네그루(주)키다리이엔티,2017-03-16,미국,27847,어드벤처,12세이상관람가,0,3,5,9,"1,399","10,564,000","1,399","게리올드만,아사버터필드,칼라구기노,브릿로버트슨",78990,8.88,113,0,0,0,0,0,0,3,1,0
1146,걸 온 더 트레인,테이트 테일러,씨제이이앤엠(주),2017-03-09,미국,27840,드라마,청소년관람불가,0,3,3,5,"1,350","7,392,000","1,350","에밀리블런트,해일리베넷,루크에반스레베카퍼거슨",61459,8.01,287,0,0,0,0,0,1,1,1,0
1147,코비: 블루 엘리펀트의 전설,타위랍 스리우티윙스,(주)영화사 빅,2013-12-05,태국,27463,애니메이션,전체관람가,0,12,1,1,142,"994,000",142,0,27641,9.57,58,0,0,0,0,0,0,1,0,0
1148,반지의 제왕 : 두개의 탑 (확장판),피터 잭슨,(주)디스테이션,2017-01-18,뉴질랜드,27440,판타지,12세이상관람가,0,1,1,4,834,"10,160,000",834,"일라이저우드,이안맥켈런,리브타일러,비고모텐슨,숀애스틴,케이트블란쳇,존라이스데이비스,빌리보이드,도미니크모나한,올랜도블룸,크리스토퍼리,휴고위빙,앤디서키스",2646170,0,0,0,0,0,2,2,2,0,7,0
1149,위아 유어 프렌즈,맥스 조셉,씨네그루(주)다우기술,2015-11-12,미국,27412,드라마,청소년관람불가,0,11,31,106,"18,896","151,004,000","18,896",잭에프런,37853,8.46,116,0,0,0,0,0,0,1,0,0
1150,토마스와 친구들: 용감한 기관차와 괴물소동,롭 실베스트리,와이드 릴리즈(주),2016-10-13,영국,27345,애니메이션,전체관람가,0,10,1,1,195,"2,145,000",195,0,21273,9.31,13,0,0,0,0,0,0,1,0,0
1151,어떤 만남,리사 아주엘로스,(주)티캐스트콘텐츠허브,2014-07-31,프랑스,27302,멜로/로맨스,청소년관람불가,0,7,1,7,"1,252","7,951,000","1,252",소피마르소,13753,8.69,36,0,0,0,0,0,0,0,1,0
1152,라자루스,데이빗 겔브,(유)조이앤시네마,2015-07-02,미국,27279,공포(호러),15세이상관람가,0,7,3,4,851,"6,758,000",851,"올리비아와일드,에반피터스",14711,8.39,75,0,0,0,0,0,1,0,1,0
1153,몬스터 헌트,라맨 허,(주)와우픽쳐스,2015-11-12,중국,27257,판타지,12세이상관람가,0,11,4,12,"1,686","14,074,000","1,686","백백하,탕웨이,정백연,증지위",951466,7.23,158,0,0,0,0,0,0,0,4,0
1154,로스트 인 파리,"도미니크 아벨,피오나 고든",그린나래미디어(주),2017-05-18,프랑스,27203,멜로/로맨스,12세이상관람가,0,5,4,13,"1,270","11,732,500","1,270",피오나고든,12420,8.79,73,0,0,0,0,0,1,0,0,0
1155,지니어스,마이클 그랜다지,(주)라이크 콘텐츠,2017-04-13,영국,27167,드라마,12세이상관람가,0,4,6,16,"2,264","18,637,400","2,264","콜린퍼스,주드로,니콜키드먼,로라린니가이피어스",27224,8.89,123,0,0,0,0,0,2,0,2,0
1156,러브 앤 머시,빌 포래드,판씨네마(주),2015-07-30,미국,26812,드라마,15세이상관람가,0,7,7,11,"1,934","14,743,600","1,934","존쿠삭,폴다노,엘리자베스뱅크스",27291,8.57,79,0,0,0,0,0,0,0,3,0
1157,재키,파블로 라라인,그린나래미디어(주),2017-01-25,칠레,26758,드라마,15세이상관람가,0,1,4,13,"1,413","13,709,500","1,413","나탈리포트만,피터사스가드,그레타거윅,빌리크루덥",18476,8.12,32,0,0,0,0,0,1,1,2,0
1158,몬스터 섬의 비밀,레오폴도 아귈라,(주)박수엔터테인먼트,2017-09-07,멕시코,26739,애니메이션,전체관람가,0,9,,,,,,"박상우,조연우,박정욱",26739,10,2,0,0,0,0,0,0,0,3,0
1159,앙: 단팥 인생 이야기,가와세 나오미,그린나래미디어(주),2015-09-10,일본,26738,드라마,12세이상관람가,0,9,3,15,"1,965","14,469,700","1,965",키키키린,11046,9.23,43,0,0,0,0,0,0,0,1,0
1160,아기돼지 3형제와 매직램프,유위,(주)팝엔터테인먼트,2017-03-23,중국,26670,애니메이션,전체관람가,0,3,1,2,369,"2,952,000",369,0,21469,9.22,51,0,0,0,0,0,0,1,0,0
1161,뉴 스텝업: 어반댄스,타미 데이비스,THE 픽쳐스,2016-09-22,뉴질랜드,26381,액션,15세이상관람가,0,9,1,2,109,"654,000",109,"티아마이피,케링튼페인",26488,7.08,26,0,0,0,0,0,0,0,2,0
1162,쾌걸 조로리의 대대대대모험,이와사키 토모코,(주)미디어데이,2013-06-05,일본,26278,애니메이션,전체관람가,0,6,5,5,"1,320","9,240,000","1,320",정태호,16291,1.57,2638,0,0,0,0,0,0,0,1,0
1163,트레이서,다니엘 벤마요,(주)영화사오원,2015-03-19,미국,26262,액션,15세이상관람가,0,3,4,6,"1,209","9,886,000","1,209",테일러로트너,13318,9.53,62,0,0,0,0,0,0,1,0,0
1164,배저로와 친구들: 신비한 모험,"라스무스 A. 실버르센,룬 스파안스",와이드 릴리즈(주),2017-10-26,노르웨이,26185,애니메이션,전체관람가,0,10,5,20,"2,280","18,461,000","2,280","존F.브룬고트,헤르만사바도,마이브리트앤더슨",22593,9.43,122,0,0,0,0,0,0,0,3,0
1165,왓 이프,마이클 도즈,(주)나이너스엔터테인먼트,2014-11-13,아일랜드,25908,코미디,15세이상관람가,0,11,8,33,"6,307","47,848,000","6,307",다니엘래드클리프,27818,8.85,212,0,0,0,0,0,1,0,0,0
1166,부니베어: 로거빅 컴백홈 프로젝트,정량,예지림엔터테인먼트,2017-06-29,중국,25903,애니메이션,전체관람가,0,6,2,2,492,"3,936,000",492,"박상훈,홍진욱,윤세웅,임채헌",12381,9.11,35,0,0,0,0,0,0,1,3,0
1167,골드,스티븐 개건,CGV아트하우스,2017-03-22,미국,25595,드라마,15세이상관람가,0,3,5,14,"2,960","23,063,000","2,960","매튜매커너히,브라이스달라스하워드",54050,8.86,156,0,0,0,0,1,0,0,1,0
1168,매직울프,"안드레이 갈랏,막심 볼코브",(주)박수엔터테인먼트,2017-10-03,러시아,25556,애니메이션,전체관람가,0,10,12,30,"3,186","24,717,100","3,186","톰펠튼,루비로즈",29204,10,31,0,0,0,0,0,0,0,2,0
1169,사다코 대 카야코,시라이시 코지,유니버설픽쳐스인터내셔널 코리아(유),2017-01-04,일본,25531,공포(호러),15세이상관람가,0,1,1,1,149,"1,043,000",149,야마모토미즈키,11457,7.54,575,0,0,0,0,0,0,0,1,0
1170,선샤인 온 리스,덱스터 플레처,(주)팝엔터테인먼트,2014-09-03,영국,25431,뮤지컬,12세이상관람가,0,9,8,26,"1,244","9,896,000","1,244","피터뮬란,조지맥케이,제인호록스,안토니아토마스,프레야메이버,케빈구스리,제이슨플레밍",84920,8.55,220,0,0,0,0,0,0,1,6,0
1171,트래쉬,스티븐 달드리,유니버설픽쳐스인터내셔널 코리아(유),2015-05-14,미국,25260,어드벤처,15세이상관람가,0,5,45,79,"1,615","8,345,000","1,615","루니마라,마틴쉰,릭슨테베즈",167730,8.92,91,0,0,0,0,0,1,0,2,0
1172,꼬마영웅 경찰차 프로디2,라스무스 A. 실버르센,예지림엔터테인먼트,2014-03-20,노르웨이,25149,애니메이션,전체관람가,0,3,2,4,708,"5,180,000",708,"이선,엄상현",22593,9.33,15,0,0,0,0,0,0,1,1,0
1173,빅 픽처,에릭 라티고,(주)드림웨스트픽쳐스,2013-07-04,프랑스,24815,드라마,청소년관람불가,0,7,2,3,482,"3,656,000",482,"로맹뒤리스,마리나포이스,까뜨린느드뇌브,닐스아르스트럽,브랑카카틱",52293,8.9,305,0,0,0,0,0,0,0,5,0
1174,슈퍼 버드,"리카르도 아나이즈,마이크 컨켈,라울 가르시아",와이드 릴리즈(주),2017-04-06,멕시코,24799,애니메이션,전체관람가,0,4,8,15,"2,621","20,862,000","2,621","에드워드제임스올모스,치치마린",25964,8.78,18,0,0,0,0,0,0,0,2,0
1175,하이-라이즈,벤 휘틀리,찬란,2016-03-30,영국,24600,스릴러,청소년관람불가,0,3,4,6,729,"6,708,900",729,"톰히들스턴,제레미아이언스,시에나밀러",8482,9.58,172,0,1,0,0,0,0,1,1,0
1176,키즈모노가타리 I : 철혈편,신보 아키유키,(주)박수엔터테인먼트,2016-06-30,일본,24492,애니메이션,15세이상관람가,0,6,4,5,915,"6,405,000",915,"카미야히로시,사카모토마아야,호리에유이,사쿠라이타카히로",18057,9.07,55,0,0,0,0,0,0,0,4,0
1177,"내 어깨 위 고양이, 밥",로저 스포티스우드,(주)누리픽쳐스,2017-01-04,영국,24466,드라마,12세이상관람가,0,1,8,26,"2,072","17,864,000","2,072","루크트레더웨이,루타게드민타스,조앤프로갯",26926,9.61,250,0,0,0,0,0,0,0,3,0
1178,진격의 거인: 홍련의 화살,아라키 테츠로,(주)박수엔터테인먼트,2015-01-28,일본,24450,애니메이션,15세이상관람가,0,1,22,85,"2,818","23,633,800","2,818",0,15238,7.75,240,0,0,0,0,0,0,1,0,0
1179,종이 달,요시다 다이하치,(주)영화사오원,2015-07-23,일본,24381,드라마,청소년관람불가,0,7,2,5,655,"6,231,200",655,"미야자와리에,이케마츠소스케,코바야시사토미",9711,9.7,20,0,0,0,0,0,0,0,3,0
1180,스파이크,"다비드 알로,에릭 토스티",예지림엔터테인먼트,2013-12-05,프랑스,24346,애니메이션,전체관람가,0,12,4,4,812,"5,684,000",812,"남도형,김서영",20863,9.23,23,0,0,1,0,0,0,0,1,0
1181,슈퍼오리 : 태양을 지켜라,빅터 라키소프,와이드 릴리즈(주),2017-08-31,러시아,24319,애니메이션,전체관람가,0,8,6,20,"2,149","17,182,000","2,149","박상우,오은수,방지원,박정욱,신정훈,송영인",24319,9.7,80,0,0,0,0,0,0,0,6,0
1182,나이스 가이즈,쉐인 블랙,메가박스중앙(주)플러스엠,2016-07-06,미국,24268,범죄,청소년관람불가,0,7,1,1,203,"1,624,000",203,"러셀크로우,라이언고슬링,맷보머",4512901,9.91,35,0,0,0,0,0,2,0,1,0
1183,레전드 오브 래빗: 불의 전설,"마원,동대가",(주)팝엔터테인먼트,2015-09-24,중국,24111,애니메이션,전체관람가,0,9,4,5,"1,010","7,928,000","1,010","이재범,문유정,이명희",24351,6.36,64,0,0,0,0,0,0,0,3,0
1184,폭스캐처,베넷 밀러,그린나래미디어(주),2015-02-05,미국,24083,드라마,청소년관람불가,0,2,16,21,"2,173","17,505,100","2,173","채닝테이텀,스티브카렐",224814,8.26,78,0,0,0,0,1,1,0,0,0
1185,프라미스드 랜드 ,구스 반 산트,CGV아트하우스,2013-12-12,미국,23883,드라마,12세이상관람가,0,12,3,9,"1,049","8,177,500","1,049","맷데이먼,프란시스맥도먼드",12489,9.05,285,0,0,0,0,0,0,0,2,0
1186,언노운 걸,"뤽 다르덴,장 피에르 다르덴",오드,2017-05-03,벨기에,23827,드라마,12세이상관람가,0,5,2,11,"1,402","12,234,600","1,402",아델하에넬,31098,9.25,12,0,0,0,0,0,0,0,1,0
1187,님포매니악 볼륨2,라스 폰 트리에,CGV아트하우스,2014-07-03,덴마크,23641,드라마,청소년관람불가,0,7,5,11,807,"6,794,100",807,"샤를로뜨갱스부르,스텔란스카스가드,스테이시마틴,샤이아라보프,제이미벨,크리스찬슬레이터,윌렘데포,미아고스,우마서먼,소피케네디클락",28305,7.35,20,0,0,0,0,0,0,3,7,0
1188,타임 투 러브,저스틴 리어든,(주)인벤트스톤,2014-10-23,미국,23597,코미디,청소년관람불가,0,10,11,23,"4,056","32,044,000","4,056",크리스에반스,23597,9.68,533,0,1,0,0,0,0,0,0,0
1189,사이코패스,시오타니 나오요시,(주)박수엔터테인먼트,2015-05-28,일본,23586,애니메이션,15세이상관람가,0,5,1,1,154,"1,232,000",154,하나자와카나,13746,9.86,159,0,0,0,0,0,0,0,1,0
1190,디노타샤: 공룡대탐험,"데이빗 크렌츠,에릭 넬슨",(주)영화사 빅,2014-01-29,미국,23530,애니메이션,전체관람가,0,1,,,,,,"박지윤,곽윤상",23530,8.17,53,0,0,0,0,0,0,0,2,0
1191,하이 스피드! –프리! 스타팅 데이즈-,타케모토 야스히로,(주)박수엔터테인먼트,2016-03-24,일본,23496,애니메이션,전체관람가,0,3,1,3,774,"6,192,000",774,"시마자키노부나가,사토사토미,스즈키타츠히사,토요나가토시유키,우치야마코우키",23832,9.84,63,0,0,0,0,0,0,0,5,0
1192,빨간머리 앤 : 그린게이블로 가는 길,다카하타 이사오,(주)미디어데이,2013-01-09,일본,23493,애니메이션,전체관람가,0,1,1,1,108,"972,000",108,0,15432,9.66,141,0,0,0,0,0,0,1,0,0
1193,제인 도,안드레 외브레달,오퍼스픽쳐스,2017-08-23,영국,23467,공포(호러),청소년관람불가,0,8,2,4,480,"3,345,866",480,"에밀허쉬,브라이언콕스",11755,8.06,563,0,0,0,0,0,0,0,2,0
1194,언프렌드,시몬 베호벤,(주)크리픽쳐스,2017-02-09,독일,23450,스릴러,15세이상관람가,0,2,2,4,654,"5,232,000",654,"알리시아데브넘캐리,리슬알러스,윌리엄모즐리,코너파올로",23688,8.36,33,0,0,0,0,0,0,0,4,0
1195,토마스와 친구들: 수수께끼 해적선과 보물찾기,데이비드 스토튼,KBS 미디어,2017-06-29,영국,23395,애니메이션,전체관람가,0,6,3,5,502,"3,510,000",502,0,18354,8.89,9,0,0,0,0,0,0,1,0,0
1196,미스터 캣,배리 소넨필드,(주)리틀빅픽쳐스,2016-10-19,프랑스,23350,코미디,전체관람가,0,10,4,8,"1,601","13,007,000","1,601","케빈스페이시,제니퍼가너,크리스토퍼월켄",1701556,9.26,218,0,0,0,0,0,0,1,2,0
1197,아우토반,에란 크리비,와이드 릴리즈(주),2017-03-22,영국,23306,액션,15세이상관람가,0,3,3,9,"1,629","12,913,000","1,629","니콜라스홀트,펠리시티존스,안소니홉킨스",22199,8.28,231,0,0,0,1,0,0,2,0,0
1198,부에노스 아이레스에서 사랑에 빠질 확률,구스타보 타레토,(주)영화사 진진,2013-09-12,아르헨티나,23233,코미디,15세이상관람가,0,9,2,4,"1,440","8,640,000","1,440","하비에르드롤라스,피욜라로페즈드아야라",23614,7.7,33,0,0,0,0,0,0,0,2,0
